mean_size                :	3,	3
dof                      :	3
num_meas                 :	458
====================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Time                     X_11                     X_21                     X_31                     X_12                     X_22                     X_32                     X_13                     X_23                     X_33                     cov_11                   cov_12                   cov_13                   cov_21                   cov_22                   cov_23                   cov_31                   cov_32                   cov_33                   covIsGlobal              
====================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
0,                       0.999993,                0.00375,                 0,                       -0.00375,                0.999993,                0,                       0.003445,                0.002557,                1,                       1e-05,                   0,                       0,                       0,                       1e-05,                   0,                       0,                       0,                       1e-05,                   1,                       
0,                       0.999993,                0.00376309,              0,                       -0.00376309,             0.999993,                0,                       0.0132375,               0.00252473,              1,                       1.001e-05,               6.76885e-12,             6.91241e-10,             6.76885e-12,             1.0011e-05,              9.79232e-08,             6.91241e-10,             9.79232e-08,             1.00025e-05,             0,                       
0.01,                    0.999993,                0.00379253,              0,                       -0.00379253,             0.999993,                0,                       0.0233238,               0.00259828,              1,                       1.002e-05,               6.77993e-12,             3.4102e-10,              6.77993e-12,             1.0024e-05,              1.98813e-07,             3.4102e-10,              1.98813e-07,             1.0005e-05,              0,                       
0.02,                    0.999993,                0.00379469,              0,                       -0.00379469,             0.999993,                0,                       0.0332514,               0.0026903,               1,                       1.003e-05,               -6.02544e-12,            -2.02315e-10,            -6.02544e-12,            1.00389e-05,             2.98142e-07,             -2.02315e-10,            2.98142e-07,             1.00075e-05,             0,                       
0.03,                    0.999993,                0.00379673,              0,                       -0.00379673,             0.999993,                0,                       0.0432703,               0.00267168,              1,                       1.004e-05,               1.45455e-11,             3.6532e-10,              1.45455e-11,             1.00559e-05,             3.98404e-07,             3.6532e-10,              3.98404e-07,             1.001e-05,               0,                       
0.04,                    0.999993,                0.00384287,              0,                       -0.00384287,             0.999993,                0,                       0.0533038,               0.00266654,              1,                       1.005e-05,               4.09273e-11,             8.21155e-10,             4.09273e-11,             1.00749e-05,             4.98838e-07,             8.21155e-10,             4.98838e-07,             1.00125e-05,             0,                       
0.05,                    0.999992,                0.00388985,              0,                       -0.00388985,             0.999992,                0,                       0.0633387,               0.00279307,              1,                       1.006e-05,               -1.86555e-12,            -3.14464e-11,            -1.86555e-12,            1.00959e-05,             5.99317e-07,             -3.14464e-11,            5.99317e-07,             1.0015e-05,              0,                       
0.06,                    0.999993,                0.00382715,              0,                       -0.00382715,             0.999993,                0,                       0.0733286,               0.00275235,              1,                       1.007e-05,               5.04074e-11,             7.21629e-10,             5.04074e-11,             1.01189e-05,             6.99364e-07,             7.21629e-10,             6.99364e-07,             1.00175e-05,             0,                       
0.07,                    0.999993,                0.00376408,              0,                       -0.00376408,             0.999993,                0,                       0.0835351,               0.00272538,              1,                       1.008e-05,               1.06656e-10,             1.33255e-09,             1.06656e-10,             1.01442e-05,             8.01606e-07,             1.33255e-09,             8.01606e-07,             1.002e-05,               0,                       
0.08,                    0.999993,                0.00383255,              0,                       -0.00383255,             0.999993,                0,                       0.0935924,               0.0027813,               1,                       1.009e-05,               1.09325e-10,             1.21333e-09,             1.09325e-10,             1.01713e-05,             9.02381e-07,             1.21333e-09,             9.02381e-07,             1.00225e-05,             0,                       
